,Immoweb ID,Property type,property sub-type,Price,Post code,Building condition,Kitchen type,Bedrooms,Furnished,Terrace surface,Tenement building,Number of frontages,Swimming pool,How many fireplaces?,Garden,Garden orientation,Garden surface,Terrace,Surface of the plot
8240,9599578,HOUSE,VILLA,2495000.0,2360,As new,USA hyper equipped,6.0,,50.0,No,4.0,Yes,,,,2905.0,,2905.0
8241,9711974,HOUSE,VILLA,95000.0,6690,,,3.0,,,No,4.0,,,,,,Yes,2206.0
8242,9715389,HOUSE,VILLA,815000.0,1910,Good,Hyper equipped,4.0,No,,No,4.0,No,,,,,,2240.0
8243,9725338,HOUSE,VILLA,289000.0,7712,Good,Not installed,2.0,No,,No,4.0,No,,,,430.0,Yes,800.0
8244,9725619,HOUSE,VILLA,475000.0,1450,Good,USA hyper equipped,4.0,,44.0,No,4.0,,,,,,,1139.0
8245,9718264,HOUSE,VILLA,520000.0,8434,,,3.0,Yes,,No,,No,,Yes,South,,Yes,588.0
8246,9697128,HOUSE,VILLA,225000.0,5101,To be done up,Semi equipped,2.0,No,,No,4.0,,,Yes,South West,,Yes,486.0
8247,9411832,HOUSE,VILLA,229000.0,7811,Good,Installed,3.0,No,26.0,No,4.0,No,,,,,,540.0
8248,9698277,HOUSE,VILLA,249000.0,6200,As new,Hyper equipped,4.0,No,,No,4.0,No,1.0,,,,,729.0
8249,9466183,HOUSE,VILLA,270000.0,6200,Good,Installed,2.0,No,,No,4.0,No,,,,,Yes,1680.0
8250,9665446,HOUSE,VILLA,279000.0,7321,Good,Semi equipped,4.0,No,,,4.0,,1.0,,,997.0,Yes,3347.0
8251,9677223,HOUSE,VILLA,285000.0,5640,Good,Installed,3.0,No,,No,4.0,,,,,,,949.0
8252,9698049,HOUSE,VILLA,340000.0,5600,Good,Installed,4.0,No,,No,4.0,No,,,,6200.0,Yes,6880.0
8253,9600523,HOUSE,VILLA,362500.0,7951,As new,Installed,3.0,,,No,4.0,,,,,,Yes,908.0
8254,9704508,HOUSE,VILLA,375000.0,7040,Good,Installed,3.0,No,30.0,No,4.0,No,,,,5000.0,,5600.0
8255,9637874,HOUSE,VILLA,375000.0,7040,Good,Installed,3.0,No,30.0,No,4.0,No,,,,5000.0,,5600.0
8256,9601015,HOUSE,VILLA,399000.0,5022,Just renovated,Semi equipped,4.0,No,40.0,No,4.0,Yes,,,,900.0,,900.0
8257,9678331,HOUSE,VILLA,435000.0,9500,Good,Installed,3.0,No,,No,4.0,No,,,,,Yes,1050.0
8258,9607576,HOUSE,VILLA,450000.0,7912,Good,Installed,2.0,,,,4.0,,1.0,,,,Yes,1612.0
8259,9599980,HOUSE,VILLA,470000.0,4130,Good,Installed,3.0,,,No,4.0,Yes,1.0,Yes,North East,,Yes,1021.0
8260,9685057,HOUSE,VILLA,495000.0,6698,Good,Installed,4.0,,,No,4.0,,1.0,Yes,South,,Yes,3419.0
8261,9663609,HOUSE,VILLA,529000.0,6120,Good,Installed,4.0,No,,No,4.0,Yes,,Yes,South West,,,1718.0
8262,9657974,HOUSE,VILLA,569000.0,9340,As new,Hyper equipped,5.0,No,,No,4.0,,,,,,Yes,1656.0
8263,9608005,HOUSE,VILLA,590000.0,5640,As new,USA hyper equipped,3.0,No,,No,4.0,Yes,,,,375.0,Yes,1000.0
8264,9603975,HOUSE,VILLA,598000.0,4052,As new,USA hyper equipped,4.0,No,100.0,No,4.0,Yes,,,South East,2070.0,,2300.0
8265,9693153,HOUSE,VILLA,699000.0,9120,Good,Hyper equipped,4.0,No,,No,4.0,,,,,,Yes,3640.0
8267,9688639,HOUSE,VILLA,799000.0,9090,As new,Installed,5.0,,,,4.0,Yes,2.0,Yes,South East,,Yes,3176.0
